Date,Open,High,Low,Close,Adj Close,Volume
12/31/19,7.24,7.3,7.15,7.24,7.195854,3279000
1/2/20,7.3,7.56,7.23,7.46,7.414512,4545900
1/3/20,7.45,7.6,7.31,7.32,7.275366,2218000
1/6/20,7.25,7.3,7.11,7.12,7.076585,2903400
1/7/20,7.11,7.2,7,7.13,7.086524,3205300
1/8/20,7.11,7.15,6.61,6.62,6.579634,6557000
1/9/20,6.66,6.68,6.35,6.46,6.42061,6794300
1/10/20,6.44,6.67,6.41,6.47,6.430549,5203600
1/13/20,6.5,6.64,6.42,6.56,6.52,2836800
1/14/20,6.55,6.96,6.45,6.85,6.808232,2713100
1/15/20,6.85,7.34,6.8,7.11,7.066647,4660300
1/16/20,7.19,7.44,7.19,7.33,7.285305,3350400
1/17/20,7.36,7.38,7.13,7.28,7.23561,2016900
1/21/20,7.26,7.32,7.15,7.18,7.13622,1831400
1/22/20,7.21,7.22,6.93,6.97,6.9275,2716900
1/23/20,6.93,7,6.68,6.8,6.758537,2029300
1/24/20,6.76,6.8,6.6,6.74,6.698902,2282800
1/27/20,6.51,6.54,6.25,6.36,6.321219,3163600
1/28/20,6.35,6.8,6.29,6.79,6.748598,2094700
1/29/20,6.86,6.89,6.69,6.77,6.72872,1438200
1/30/20,6.62,6.88,6.46,6.84,6.798293,1640600
1/31/20,6.81,6.87,6.5,6.52,6.480244,1883300
2/3/20,6.5,6.59,6.41,6.45,6.410671,1405700
2/4/20,6.46,6.69,6.39,6.65,6.609451,2004400
2/5/20,6.72,7.1,6.69,7,6.957317,2167200
2/6/20,7.03,7.13,6.73,6.75,6.708841,2713400
2/7/20,6.7,6.75,6.54,6.55,6.510061,2063000
2/10/20,6.55,6.83,6.47,6.79,6.748598,1360300
2/11/20,6.8,6.98,6.65,6.94,6.897683,1568500
2/12/20,6.93,7.08,6.82,6.86,6.818171,1922100
2/13/20,6.75,7.08,6.72,7,6.957317,1553400
2/14/20,7.01,7.19,6.88,7.1,7.056707,1706000
2/18/20,7.09,7.25,7.03,7.04,6.997073,2142800
2/19/20,7.1,7.44,7.06,7.31,7.265427,2308500
2/20/20,7.32,7.78,7.21,7.76,7.712683,3649100
2/21/20,7.7,7.75,7.33,7.46,7.414512,3034300
2/24/20,7.14,7.14,6.84,7.05,7.007012,3210900
2/25/20,7,7.28,6.48,6.55,6.510061,4181000
2/26/20,6.57,6.62,5.87,5.93,5.893841,7176800
2/27/20,5.71,6.2,5.12,6.09,6.052866,6294000
2/28/20,6.51,6.65,5.98,6.26,6.221829,7555900
3/2/20,6.31,6.32,5.63,6.11,6.072744,4585400
3/3/20,6.1,6.13,5.64,5.81,5.774573,3843000
3/4/20,5.86,5.9,5.43,5.82,5.784513,4483700
3/5/20,5.6,5.61,4.75,4.92,4.89,5853100
3/6/20,4.62,4.73,4.37,4.53,4.53,4599900
3/9/20,3.95,4.07,3.68,3.85,3.85,3404000
3/10/20,4.17,4.29,3.76,4.2,4.2,3687000
3/11/20,3.98,4.07,3.56,3.64,3.64,4059400
3/12/20,2.68,3.15,2.65,2.91,2.91,8058000
3/13/20,3.14,3.27,2.8,3.22,3.22,6158300
3/16/20,2.64,2.9,2.6,2.6,2.6,8497900
3/17/20,2.62,2.75,1.95,2.48,2.48,7685700
3/18/20,2.28,3,2.11,2.47,2.47,7753500
3/19/20,2.64,3.47,2.38,3.37,3.37,8614600
3/20/20,3.4,3.6,3.02,3.19,3.19,5754000
3/23/20,3.23,3.4,2.71,3.15,3.15,6481300
3/24/20,3.5,3.56,3.27,3.56,3.56,5168300
3/25/20,3.92,3.98,3.25,3.46,3.46,8112900
3/26/20,3.46,3.95,3.44,3.7,3.7,5094700
3/27/20,3.57,3.75,3.3,3.6,3.6,3431400
3/30/20,3.45,3.5,3.04,3.04,3.04,4219700
3/31/20,3.15,3.29,3.08,3.16,3.16,3637100
4/1/20,3,3.04,2.5,2.62,2.62,5898600
4/2/20,2.74,2.78,2.18,2.24,2.24,8808100
4/3/20,2.32,2.34,2,2.27,2.27,7493400
4/6/20,2.5,2.97,2.4,2.88,2.88,6912000
4/7/20,3.17,3.73,3.05,3.14,3.14,8977100
4/8/20,3.05,3.32,2.8,3.3,3.3,7997600
4/9/20,3.3,3.3,2.58,2.6,2.6,13981200
4/13/20,2.34,2.36,1.95,2.08,2.08,19784100
