Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,283.910004,285.309998,283.559998,285.100006,273.054077,1341300
2020-01-02,286.440002,288.630005,286.149994,288.619995,276.425293,3865500
2020-01-03,285.339996,287.109985,285.179993,286.320007,274.222565,3296700
2020-01-06,284.290009,287.029999,284.160004,286.980011,274.854614,1645100
2020-01-07,286.299988,286.790009,285.579987,285.739990,273.666992,1413000
2020-01-08,285.320007,288.670013,285.079987,287.399994,275.256866,3136700
2020-01-09,288.950012,289.839996,288.429993,289.559998,277.325623,1783100
2020-01-10,289.959991,290.040009,287.839996,288.239990,276.061401,2989600
2020-01-13,288.790009,289.079987,288.140015,289.019989,276.808380,1463300
2020-01-14,288.869995,290.489990,288.720001,289.220001,276.999969,2198500
2020-01-15,289.010010,291.239990,288.950012,290.350006,278.082306,2195100
2020-01-16,291.630005,292.970001,291.470001,292.929993,280.553284,2522000
2020-01-17,293.519989,293.609985,292.790009,293.269989,281.011353,2147400
2020-01-21,292.440002,293.279999,291.369995,291.829987,279.631439,4476900
2020-01-22,292.500000,293.070007,291.579987,291.809998,279.612305,2077000
2020-01-23,290.750000,291.859985,289.600006,291.540009,279.353607,1872600
2020-01-24,292.540009,292.769989,288.339996,289.799988,277.686340,3612500
2020-01-27,284.850006,286.649994,283.859985,285.359985,273.431885,4129100
2020-01-28,286.220001,288.190002,285.750000,287.290009,275.281281,2999200
2020-01-29,288.989990,289.279999,287.209991,287.290009,275.281281,2126300
2020-01-30,285.670013,288.769989,284.850006,288.540009,276.479004,3433200
2020-01-31,286.959991,287.230011,281.609985,282.420013,270.614838,4885700
2020-02-03,283.690002,286.260010,283.500000,283.980011,272.109589,3157400
2020-02-04,287.679993,289.000000,287.420013,288.040009,275.999878,3004100
2020-02-05,290.760010,293.040009,289.950012,292.859985,280.618317,3305900
2020-02-06,294.019989,294.140015,292.450012,293.739990,281.461609,2857200
2020-02-07,292.760010,292.809998,290.660004,291.190002,279.018219,3839300
2020-02-10,290.200012,292.959991,290.160004,292.950012,280.704681,2877700
2020-02-11,294.350006,294.420013,292.279999,292.940002,280.695007,1994500
2020-02-12,294.630005,295.869995,294.529999,295.720001,283.358917,2804400
2020-02-13,294.390015,295.839996,293.920013,294.820007,282.496552,2638000
2020-02-14,294.970001,295.130005,293.399994,294.540009,282.228149,1861700
2020-02-18,293.149994,293.880005,291.760010,292.950012,280.704681,2397800
2020-02-19,293.769989,294.720001,293.390015,294.100006,281.806610,1474400
2020-02-20,293.559998,294.290009,290.170013,292.779999,280.541748,3493900
2020-02-21,290.799988,291.049988,288.750000,289.739990,278.393341,3271800
2020-02-24,280.329987,282.779999,278.970001,279.559998,268.611969,6595200
2020-02-25,280.799988,281.359985,269.880005,270.700012,260.098938,9903700
2020-02-26,271.989990,275.309998,268.829987,269.739990,259.176636,7477600
2020-02-27,264.859985,267.730011,257.390015,257.500000,247.415894,11188900
2020-02-28,250.520004,255.119995,247.000000,254.559998,244.591034,17541400
2020-03-02,256.709991,267.250000,254.059998,267.029999,256.572754,8544500
2020-03-03,267.799988,271.019989,257.179993,259.299988,249.145370,11482600
2020-03-04,265.450012,271.109985,262.959991,270.890015,260.281616,5408100
2020-03-05,264.269989,266.529999,259.559998,261.459991,251.220795,5872900
2020-03-06,253.669998,260.100006,252.429993,258.850006,248.713028,7372400
2020-03-09,241.500000,247.070007,237.169998,238.720001,229.371368,10406900
2020-03-10,247.289993,250.539993,237.089996,250.470001,240.661194,9407100
2020-03-11,243.539993,244.910004,233.600006,235.839996,226.604080,7687200
2020-03-12,220.500000,229.000000,211.830002,212.110001,203.803436,17322600
2020-03-13,225.649994,232.479996,213.289993,232.110001,223.020218,13676000
2020-03-16,206.500000,218.309998,201.509995,202.490005,194.560226,12407000
2020-03-17,207.009995,214.470001,199.350006,213.470001,205.110138,16128100
2020-03-18,199.070007,205.440002,189.669998,199.389999,191.581619,13369800
2020-03-19,198.369995,204.979996,192.320007,201.309998,193.426376,13532100
2020-03-20,203.289993,205.289993,191.000000,191.899994,184.937927,12206000
2020-03-23,190.130005,191.199997,182.100006,186.130005,179.377228,15712300
2020-03-24,196.270004,207.210007,196.210007,206.639999,199.143173,14123600
2020-03-25,210.570007,220.169998,205.320007,212.059998,204.366562,17556100
2020-03-26,214.429993,225.869995,214.009995,225.070007,216.904541,16071900
2020-03-27,217.610001,223.259995,214.570007,216.350006,208.500900,10545600
2020-03-30,217.360001,223.720001,215.100006,223.100006,215.006027,7691800
2020-03-31,221.949997,224.750000,218.440002,219.229996,211.276382,8426600
2020-04-01,210.649994,214.779999,207.770004,209.380005,201.783737,8570300
2020-04-02,208.309998,214.789993,207.179993,213.960007,206.197571,8231900
2020-04-03,212.729996,214.550003,208.690002,210.600006,202.959518,6664500
2020-04-06,218.949997,227.910004,218.119995,226.529999,218.311584,10322500
2020-04-07,235.460007,236.160004,226.449997,226.600006,218.379074,10857700
2020-04-08,229.139999,235.250000,226.839996,234.330002,225.828537,7010200
2020-04-09,237.839996,240.190002,235.110001,237.139999,228.536652,9393200
2020-04-13,236.410004,236.690002,230.960007,233.960007,225.472000,6761900
2020-04-14,238.699997,240.470001,236.880005,239.679993,230.984512,5391900
2020-04-15,234.479996,236.580002,232.389999,235.080002,226.551407,6828000
2020-04-16,235.699997,236.059998,232.179993,235.339996,226.801941,6126400
2020-04-17,241.600006,242.660004,238.250000,242.429993,233.763840,5924500
2020-04-20,238.240005,241.110001,236.259995,236.639999,228.180832,7357400
2020-04-21,231.330002,233.339996,229.410004,230.220001,221.990326,6571400
2020-04-22,234.399994,236.270004,233.389999,234.770004,226.377701,4318000
2020-04-23,235.509995,238.919998,234.830002,235.070007,226.666977,6364800
2020-04-24,236.610001,238.330002,234.199997,237.830002,229.328308,3568500
2020-04-27,239.119995,242.190002,238.449997,241.320007,232.693542,3632500
2020-04-28,245.009995,245.160004,240.360001,241.089996,232.471786,4709900
2020-04-29,245.479996,247.669998,244.199997,246.449997,237.640182,5015300
2020-04-30,244.199997,245.169998,241.910004,243.220001,234.525604,4928900
2020-05-01,239.580002,240.330002,236.500000,237.279999,228.797974,4723500
2020-05-04,235.210007,237.750000,233.639999,237.419998,228.932953,3845500
2020-05-05,240.020004,241.740005,238.699997,238.800003,230.263596,3143500
2020-05-06,240.339996,240.539993,236.600006,236.860001,228.392960,3082300
2020-05-07,239.240005,241.179993,238.550003,238.910004,230.369690,3411500
2020-05-08,242.270004,243.800003,241.339996,243.619995,234.911285,3894800
2020-05-11,241.679993,243.940002,241.000000,242.559998,233.889191,2743000
2020-05-12,243.809998,244.139999,237.940002,238.080002,229.569366,6433900
2020-05-13,236.960007,237.500000,231.020004,232.820007,224.497391,7531300
2020-05-14,230.080002,236.759995,228.300003,236.750000,228.286911,6964500
2020-05-15,234.160004,237.250000,233.410004,236.910004,228.887817,4811100
2020-05-18,243.509995,247.199997,243.360001,245.929993,237.602402,5207700
2020-05-19,245.449997,246.020004,242.070007,242.220001,234.018005,4404700
2020-05-20,245.399994,246.580002,244.729996,245.729996,237.409134,3280600
2020-05-21,245.550003,247.380005,243.880005,245.020004,236.723206,3378200
2020-05-22,244.910004,245.100006,243.169998,244.880005,236.587967,2521100
2020-05-26,250.839996,252.020004,249.880005,250.250000,241.776108,4872300
2020-05-27,253.729996,255.789993,250.330002,255.770004,247.109207,5326100
